ID,SurveyFK,Group,Length,Quantity,PhotoURL,Notes,Hairy,Rolled,Tented,Sawfly,BeetleLarva
42526,30429,leafhopper,1,1,,"SIZE 0.5 MM",0,0,0,0,0
42525,30429,fly,1,1,,,0,0,0,0,0
42524,30426,spider,2,1,,"LOTS OF WEBS",0,0,0,0,0
42523,30422,fly,2,1,,,0,0,0,0,0
42522,30420,moths,3,1,,"Caterpillar (dark and white, tussock moth)",0,0,0,0,0
42521,30418,caterpillar,1,1,,"SIZE 0.5 MM",0,0,0,0,0
42520,30415,fly,1,1,,"SIZE : 0.5 MM",0,0,0,0,0
42519,30411,aphid,1,1,,,0,0,0,0,0
42518,30405,spider,2,1,,,0,0,0,0,0
42517,30400,spider,1,1,,,0,0,0,0,0
42516,30394,spider,4,1,,,0,0,0,0,0
42515,30393,bee,3,1,,,0,0,0,0,0
42514,30382,moths,3,1,,,0,0,0,0,0
42513,30381,fly,1,1,,,0,0,0,0,0
42512,30379,fly,1,1,,"Lenght <1",0,0,0,0,0
42511,30367,truebugs,2,1,,,0,0,0,0,0
42510,30348,fly,2,1,,,0,0,0,0,0
42509,30347,fly,2,1,,,0,0,0,0,0
42508,30345,aphid,1,1,,,0,0,0,0,0
42507,30333,spider,4,1,,"Eating grasshoppers, crickets and katydids.",0,0,0,0,0
42506,30332,fly,1,1,,,0,0,0,0,0
42505,30329,truebugs,5,1,,,0,0,0,0,0
42504,30328,spider,2,2,,,0,0,0,0,0
42503,30327,ant,3,10,,,0,0,0,0,0
42502,30326,spider,1,1,,,0,0,0,0,0
42501,30326,other,1,1,,Slug,0,0,0,0,0
42500,30325,caterpillar,10,1,,Purple,1,0,0,0,0
42499,30325,beetle,5,3,,,0,0,0,0,0
42498,30324,caterpillar,10,1,,,0,1,0,0,0
42497,30324,beetle,1,1,42497.jpeg,,0,0,0,0,0
42496,30323,caterpillar,5,1,,,0,1,0,0,0
42495,30323,beetle,5,1,,,0,0,0,0,0
42494,30322,caterpillar,5,1,,,0,0,1,0,0
42493,30322,beetle,22,1,42493.jpeg,,0,0,0,0,0
42492,30316,truebugs,10,1,42492.jpeg,"Hemiptera ",0,0,0,0,0
42491,30316,spider,4,1,,"In a leaf roll. ",0,0,0,0,0
42490,30315,truebugs,10,1,42490.jpeg,"Hemiptera ",0,0,0,0,0
42489,30315,spider,4,1,,"In a leaf roll. ",0,0,0,0,0
42488,30309,caterpillar,20,1,42488.jpeg,"Green ",0,1,0,0,0
42487,30307,other,70,1,,"Carolina anole ",0,0,0,0,0
42486,30304,other,300,1,42486.jpeg,"Rough green snake ",0,0,0,0,0
42485,30303,other,80,1,,"Carolina anole ",0,0,0,0,0
42484,30298,spider,6,1,,"Brown lynx ",0,0,0,0,0
42483,30296,spider,5,1,,"Translucent ",0,0,0,0,0
42482,30296,beetle,4,1,,"Bronze ",0,0,0,0,0
42481,30293,spider,5,1,,,0,0,0,0,0
42480,30292,daddylonglegs,5,2,,,0,0,0,0,0
42479,30291,other,15,1,,"Tree frog ",0,0,0,0,0
42478,30290,leafhopper,8,1,,"Iridescent brown leaf hopper ",0,0,0,0,0
42477,30289,spider,5,1,,"Magnolia jumping spider ",0,0,0,0,0
42476,30287,spider,15,1,,"Red long jawed",0,0,0,0,0
42475,30286,spider,8,1,,"Lynx brown ",0,0,0,0,0
42474,30285,spider,4,1,,"Fast ",0,0,0,0,0
42473,30282,leafhopper,4,1,,"Leaf hopper yellow ",0,0,0,0,0
42472,30279,spider,8,1,,"Long jawed",0,0,0,0,0
42471,30278,spider,4,1,,"Magnolia spider ",0,0,0,0,0
42470,30273,spider,5,1,,Lynx,0,0,0,0,0
42469,30270,caterpillar,2,1,42469.jpeg,,1,0,0,0,0
42468,30269,caterpillar,5,1,42468.jpeg,,0,1,0,0,0
42467,30268,caterpillar,5,1,42467.jpeg,,0,1,0,0,0
42466,30267,caterpillar,5,1,42466.jpeg,,0,1,0,0,0
42465,30266,beetle,5,1,42465.jpeg,,0,0,0,0,0
42464,30265,aphid,2,1,42464.jpeg,,0,0,0,0,0
42463,30264,caterpillar,5,1,42463.jpeg,,0,1,0,0,0
42462,30263,bee,2,1,42462.jpeg,,0,0,0,0,0
42461,30262,bee,5,1,42461.jpeg,,0,0,0,0,0
42460,30261,caterpillar,2,1,42460.jpeg,,0,1,0,0,0
42459,30260,daddylonglegs,5,1,42459.jpeg,,0,0,0,0,0
42458,30259,caterpillar,5,1,42458.jpeg,,0,0,0,0,0
42457,30256,ant,2,10,,,0,0,0,0,0
42456,30255,spider,3,1,,,0,0,0,0,0
42455,30255,ant,2,6,,,0,0,0,0,0
42454,30255,bee,5,2,,,0,0,0,0,0
42453,30253,ant,7,5,,,0,0,0,0,0
42452,30250,grasshopper,20,2,,,0,0,0,0,0
42451,30250,ant,1,25,,,0,0,0,0,0
42450,30249,aphid,3,50,,,0,0,0,0,0
42449,30247,spider,20,2,,,0,0,0,0,0
136,164,spider,3,6,,,0,0,0,0,0
137,165,fly,1,1,,,0,0,0,0,0
138,166,beetle,1,3,,"Larvae sacks",0,0,0,0,0
139,168,spider,1,1,,,0,0,0,0,0
140,169,beetle,1,3,,Flowerinf,0,0,0,0,0
141,170,ant,6,1,141.jpeg,,0,0,0,0,0
142,170,unidentified,4,1,142.jpeg,"Has wings looks like fly but body shape different",0,0,0,0,0
143,171,beetle,1,2,,,0,0,0,0,0
144,171,ant,1,2,,,0,0,0,0,0
145,171,spider,1,1,,,0,0,0,0,0
